word,emotion,accuracy
estrutura,trust,0.516
nobre,trust,0.516
formativo,trust,0.516
macio,trust,0.516
medir,trust,0.516
advento,trust,0.516
gerenciamento,trust,0.516
confissão,trust,0.516
remédio,trust,0.516
sentinela,trust,0.516
rezar,trust,0.516
perpetuidade,trust,0.516
tribunal,trust,0.516
mente,trust,0.516
organização,trust,0.516
predominante,trust,0.516
voluntário,trust,0.509
elogio,trust,0.508
namoro,trust,0.508
patrocínio,trust,0.508
filósofo,trust,0.508
confessional,trust,0.508
diversidade,trust,0.508
virgem,trust,0.508
venerável,trust,0.508
política,trust,0.508
intacto,trust,0.508
custodiante,trust,0.508
automático,trust,0.508
insuperável,trust,0.508
pastor,trust,0.508
recompensa,trust,0.508
embelezamento,trust,0.508
médico,trust,0.508
polícia,trust,0.508
perdoador,trust,0.508
tolerância,trust,0.508
padre,trust,0.508
habilitar,trust,0.508
ASSUMO,trust,0.508
tenente,trust,0.508
instruir,trust,0.508
dona de casa,trust,0.508
admissível,trust,0.508
soberano,trust,0.508
amour,trust,0.508
saborear,trust,0.508
querido,trust,0.500
relacionado,trust,0.500
infalibilidade,trust,0.500
vigilante,trust,0.500
nerd,trust,0.500
instrução,trust,0.500
doutrina,trust,0.500
aniversário,trust,0.500
tempo,trust,0.500
infinidade,trust,0.500
religiões,trust,0.500
guardião,trust,0.500
otimista,trust,0.500
apologético,trust,0.500
Porta de entrada,trust,0.500
pontífice,trust,0.500
vivo,trust,0.500
indelével,trust,0.500
pessoal,trust,0.500
piedoso,trust,0.500
majestade,trust,0.500
sincronizar,trust,0.500
guarda,trust,0.500
reter,trust,0.500
romântico,trust,0.500
Super homen,trust,0.500
informações,trust,0.500
Backer,trust,0.500
imortal,trust,0.500
Vindicação,trust,0.500
distintivo,trust,0.500
tesouro,trust,0.500
guru,trust,0.500
igreja,trust,0.492
formalidade,trust,0.492
contribuinte,trust,0.492
Radiance,trust,0.492
salmo,trust,0.492
laudatório,trust,0.492
netos,trust,0.492
popularidade,trust,0.492
saudação,trust,0.492
Hosannah,trust,0.492
atração,trust,0.492
esforços,trust,0.492
privado,trust,0.492
melhorar,trust,0.492
xerife,trust,0.492
presidente,trust,0.492
julgamento,trust,0.492
Porto,trust,0.492
elegância,trust,0.492
Hardy,trust,0.492
árbitro,trust,0.492
constituir,trust,0.492
Provérbios,trust,0.492
Jubilante,trust,0.492
aspirar,trust,0.492
sinônimo,trust,0.492
inevitável,trust,0.492
musical,trust,0.492
porta -voz,trust,0.492
dotar,trust,0.492
amigo,trust,0.492
crescer,trust,0.492
moderador,trust,0.492
aproveitar,trust,0.484
encontrado,trust,0.484
armaduras,trust,0.484
coronel,trust,0.484
juiz,trust,0.484
favorito,trust,0.484
conjunto,trust,0.484
romance,trust,0.484
confessar,trust,0.484
doce,trust,0.484
coroando,trust,0.484
previsão,trust,0.484
afeição,trust,0.484
aprovar,trust,0.484
caminho,trust,0.484
concórdia,trust,0.484
polícia,trust,0.484
compatriota,trust,0.484
renda,trust,0.484
guarda-florestal,trust,0.484
profundidade,trust,0.484
como,trust,0.484
comprovante,trust,0.484
diagnóstico,trust,0.484
contratar,trust,0.484
limpar,trust,0.484
elogios,trust,0.484
árbitro,trust,0.484
puramente,trust,0.477
votivo,trust,0.477
esperar,trust,0.477
glória,trust,0.477
contado,trust,0.477
desculpar-se,trust,0.477
Sterling,trust,0.477
palavra,trust,0.477
seguir,trust,0.477
sermão,trust,0.477
cônsul,trust,0.477
calculadora,trust,0.477
cordeiro,trust,0.477
veracidade,trust,0.477
matéria,trust,0.477
parlamento,trust,0.477
amante,trust,0.477
sacrifício,trust,0.477
putativo,trust,0.477
preponderância,trust,0.477
marco,trust,0.477
berçário,trust,0.477
matemático,trust,0.477
Frank,trust,0.477
assinatura,trust,0.477
policial,trust,0.477
episcopal,trust,0.477
pastor,trust,0.477
ansiedade,trust,0.469
poderoso,trust,0.469
recrutas,trust,0.469
tribuna,trust,0.469
autor,trust,0.469
eficaz,trust,0.469
pretendido,trust,0.469
paixão,trust,0.469
religião,trust,0.469
Flagship,trust,0.469
imergir,trust,0.469
capacidade,trust,0.469
associado,trust,0.469
caixa,trust,0.469
régio,trust,0.469
pomba,trust,0.469
tutela,trust,0.469
subscrever,trust,0.469
acrítico,trust,0.469
preferir,trust,0.469
instrutor,trust,0.469
ganho,trust,0.469
marechal,trust,0.469
julgamento,trust,0.469
criterioso,trust,0.469
principal,trust,0.469
título,trust,0.469
vigário,trust,0.469
dama de honra,trust,0.469
comissão,trust,0.469
estilo de vida,trust,0.461
tia,trust,0.461
Atendente,trust,0.461
matricular,trust,0.461
sacerdócio,trust,0.461
troca,trust,0.461
crucial,trust,0.461
amarras,trust,0.461
gatinho,trust,0.461
medalha,trust,0.461
obrigar,trust,0.461
gerenciar,trust,0.461
magnético,trust,0.461
custódia,trust,0.461
necessariamente,trust,0.461
participe,trust,0.461
cauteloso,trust,0.461
consagração,trust,0.461
correio,trust,0.461
banco,trust,0.461
lição,trust,0.461
patriarcal,trust,0.461
eventualmente,trust,0.461
comércio,trust,0.461
contém,trust,0.461
teológico,trust,0.461
socialmente,trust,0.461
admitido,trust,0.461
fortaleza,trust,0.461
catedral,trust,0.455
deputado,trust,0.453
comum,trust,0.453
filhote de cachorro,trust,0.453
Presidente,trust,0.453
finalmente,trust,0.453
governador,trust,0.453
sinérgico,trust,0.453
excitado,trust,0.453
elogio,trust,0.453
gráfico,trust,0.453
perceber,trust,0.453
isolamento,trust,0.453
presente,trust,0.453
oásis,trust,0.453
águia,trust,0.453
intercâmbio,trust,0.453
prever,trust,0.453
estrategista,trust,0.453
Journeyman,trust,0.453
alvorecer,trust,0.453
louco,trust,0.453
nível,trust,0.453
presidente,trust,0.453
comerciantes,trust,0.445
afirmando,trust,0.445
negociar,trust,0.445
sensual,trust,0.445
chocolate,trust,0.445
equipe,trust,0.445
restos,trust,0.445
ditado,trust,0.445
teorema,trust,0.445
senhor,trust,0.445
empregar,trust,0.445
usual,trust,0.445
Operação,trust,0.445
ampliar,trust,0.445
diretor,trust,0.445
Fórmula,trust,0.445
químico,trust,0.445
animar,trust,0.445
chanceler,trust,0.445
ortodoxia,trust,0.445
alojamento,trust,0.445
exaltação,trust,0.445
senhor,trust,0.445
manual,trust,0.445
noivo,trust,0.445
assuntos,trust,0.445
orquestra,trust,0.445
transmitir,trust,0.445
Estatística,trust,0.445
indenização,trust,0.445
governanta,trust,0.438
imaginação,trust,0.438
mordomo,trust,0.438
conformidade,trust,0.438
Digit,trust,0.438
Controlador,trust,0.438
economia,trust,0.438
transportar,trust,0.438
árbitro,trust,0.438
enfatizar,trust,0.438
exaustivo,trust,0.438
abade,trust,0.438
expiar,trust,0.438
gabinete,trust,0.438
Merci,trust,0.438
tandem,trust,0.438
elite,trust,0.438
inauguração,trust,0.438
eleger,trust,0.438
Encore,trust,0.438
aldeão,trust,0.438
oráculo,trust,0.438
destino,trust,0.438
sol,trust,0.438
pagar,trust,0.430
base,trust,0.430
nupcial,trust,0.430
persuadir,trust,0.430
emprestador,trust,0.430
brincalhão,trust,0.430
ocupante,trust,0.430
impressionável,trust,0.430
recursos,trust,0.430
reembolsar,trust,0.430
dureza,trust,0.430
regra,trust,0.430
elucidar,trust,0.430
utópico,trust,0.430
fortuna,trust,0.430
compactar,trust,0.430
incumbência,trust,0.430
simplificar,trust,0.430
neutralidade,trust,0.430
contar,trust,0.430
Grit,trust,0.430
diferencial,trust,0.430
cobertor,trust,0.430
saudação,trust,0.430
diácono,trust,0.430
sentinela,trust,0.430
legado,trust,0.430
divulgado,trust,0.430
policial,trust,0.430
círculo,trust,0.430
gramática,trust,0.430
convidar,trust,0.430
estimável,trust,0.430
manutenção,trust,0.422
súplica,trust,0.422
fixo,trust,0.422
contador,trust,0.422
cantar,trust,0.422
elogiar,trust,0.422
mais fácil,trust,0.422
negociações,trust,0.422
axioma,trust,0.422
capacitação,trust,0.422
diário,trust,0.422
negociação,trust,0.422
perene,trust,0.422
primer,trust,0.422
treliça,trust,0.422
viagem,trust,0.422
Aprendiz,trust,0.422
hino,trust,0.422
teocrático,trust,0.422
fórum,trust,0.422
continuar,trust,0.422
supremacia,trust,0.422
maravilhados,trust,0.422
probidade,trust,0.422
freguesia,trust,0.422
tratar,trust,0.422
descanso,trust,0.422
domínio,trust,0.422
antisséptico,trust,0.422
Cessionário,trust,0.422
reconsideração,trust,0.422
pretende,trust,0.422
lojista,trust,0.422
comodoro,trust,0.414
Caras,trust,0.414
rotina,trust,0.414
dinheiro,trust,0.414
trabalho,trust,0.414
oferta,trust,0.414
especializar,trust,0.414
Gazeta,trust,0.414
coro,trust,0.414
convincente,trust,0.414
deferência,trust,0.414
servir,trust,0.414
salto,trust,0.414
conservante,trust,0.414
aparentado,trust,0.414
amortização,trust,0.414
consorte,trust,0.414
salário,trust,0.414
inclinar,trust,0.414
sínodo,trust,0.414
portão,trust,0.414
conglomerado,trust,0.414
Parabéns,trust,0.414
repórter,trust,0.414
treinador,trust,0.414
atleta,trust,0.414
privilégio,trust,0.414
arrebatado,trust,0.414
transação,trust,0.414
radar,trust,0.406
julgado,trust,0.406
legislador,trust,0.406
dermatologista,trust,0.406
executor,trust,0.406
sistema,trust,0.406
orçamento,trust,0.406
troféu,trust,0.406
árvore,trust,0.406
lazer,trust,0.406
apropriado,trust,0.406
glorificar,trust,0.406
sanção,trust,0.406
reembolso,trust,0.406
EXTOL,trust,0.406
patrulha,trust,0.406
nação,trust,0.406
linguista,trust,0.406
luxo,trust,0.406
ábaco,trust,0.406
Gentry,trust,0.398
intenso,trust,0.398
neutro,trust,0.398
liberação,trust,0.398
caminhos,trust,0.398
ferro,trust,0.398
chão,trust,0.398
Deluxe,trust,0.398
clã,trust,0.398
clímax,trust,0.398
eleitorado,trust,0.398
mercadoria,trust,0.398
favs,trust,0.398
elogio,trust,0.398
anseio,trust,0.398
explicar,trust,0.398
jornalismo,trust,0.398
ninho,trust,0.398
parietal,trust,0.398
Fain,trust,0.398
perseguir,trust,0.398
popular,trust,0.398
troca,trust,0.398
brilho,trust,0.398
depositário,trust,0.398
Pitoresca,trust,0.398
seguidor,trust,0.391
substituto,trust,0.391
sorriso,trust,0.391
Contas,trust,0.391
Chandle,trust,0.391
estrela,trust,0.391
sem considerar,trust,0.391
negócio,trust,0.391
arsenal,trust,0.391
mensageiro,trust,0.391
reclinar,trust,0.391
escolta,trust,0.391
estágios,trust,0.391
tradução,trust,0.391
EULOGISTA,trust,0.391
intercessão,trust,0.391
Usher,trust,0.391
direto,trust,0.391
cavalo,trust,0.391
hino,trust,0.391
