sentiment;text
joy;Quando conheci um bom amigo ao fim de muito tempo. Tínhamos tido uma discussão, mas após duas semanas fiquei realmente contente por o ver novamente.
joy;Assistir ao jogo olímpico asiático (China a ganhar).
joy;Pescar um peixe grande.
joy;Quando o meu namorado e eu fizemos as pazes.
joy;O meu namorado regressou após uma longa ausência.
joy;No acampamento da igreja, quando aceitei Cristo na minha vida, assim como um amigo.
joy;Durante o Verão, recebi cartões de notas dos meus assistentes técnicos. Esperava um B não melhor em Informática. Olhei para o cartão - recebi um A - fiquei extasiado.
joy;Ao ver um amigo que eu não via há muito tempo.
joy;Para ser admitida ao meu exame final, tive de passar dois exames. Como não tinha estudado muito, resignei-me a ser deixado para trás. No entanto, fui bem sucedido nestes exames.
joy;Bom jantar no Dia Nacional.
joy;Quando trabalhei como uma au-pair-girl em Londres, recebi um telefonema de uma boa amiga que me disse que ela também estava em Londres e que queria ver-me. Fiquei muito contente - depois desse telefonema e especialmente quando a vi.
joy;Quando os meus pais me elogiaram muito bem em alguma coisa.
joy;Quando eu estava com a rapariga que amo muito, para a formatura um baile.
joy;Quando fui aceite na faculdade de medicina. A medicina é uma profissão que tenho desejado desde a minha infância.
joy;Quando o meu irmão regressou a casa depois de ter ficado no hospital. Ele tinha sido submetido a uma operação que tinha sido uma questão de vida ou de morte. Quando ele voltou para casa, pude vê-lo sorrir pela primeira vez após muitas semanas.
joy;Quando soube que tinha sido seleccionada para o primeiro ano na universidade da Zâmbia. Isto foi depois do meu quinto ano na Chikola, uma escola secundária.
joy;Quando ganhei o melhor prémio na Feira Nacional de Ciência.
joy;Num concerto coral, apareci como solista. O concerto foi muito bom, esqueci-me de todo o trabalho árduo que tinha sido feito antes. Restou apenas uma alegria indescritível e uma sensação de calor, segurança, etc.
joy;Quando ouvi os resultados dos exames e quando recuperei depois de ter estado doente durante uma semana.
joy;Quando soube que tinha sido aceite na faculdade de medicina.
joy;Fui às compras com os meus pais - o meu pai pagou tudo por mim, fiquei muito contente.
joy;Quando fui seleccionado para a universidade da Zâmbia.
joy;Após 3 semanas, voltei a ver a minha namorada.
joy;Quando me ofereceram um lugar na universidade como estudante a tempo inteiro.
joy;Quando soube que eu tinha passado nos exames do segundo ano.
joy;Quando fui informado de que um conto que eu tinha escrito tinha sido aceite para publicação.
joy;Quando me qualifiquei para o formulário, eu.
joy;Quando os resultados de Cambridge apareceram e eu obtive uma primeira divisão. Eu tinha pensado que não me tinha saído muito bem.
joy;A caminho de França, a minha namorada e eu fomos para Verona. Por acaso conhecemos um casal italiano - eles deram-nos dois bilhetes para o ensaio geral da Aida. Era um mundo diferente para nós, cheio de fascínio. Após a representação, comemos uma pizza fantástica num restaurante perto da Arena.
joy;Quando passei e me qualifiquei para a universidade.
joy;Após um ano de estadia no estrangeiro, regressei a casa. Fiquei, ainda mais, contente por ver o quanto a minha família ficou contente por me ver.
joy;Há algumas semanas atrás recebi um postal de Natal de um amigo em Inglaterra. Há muito tempo que ela não me escrevia, mas isso mostrava que ainda se lembrava de mim.
joy;Quando soube que eu tinha sido seleccionada para a universidade.
joy;Tive a inesperada possibilidade de ver um amigo de quem gosto muito.
joy;Quando soube que tinha obtido o melhor resultado na escola e que seria seleccionado para a universidade da Zâmbia.
joy;Atingir o meu objectivo numa prova de natação. Trabalhei para atingir o objectivo durante 9 anos. Fui capaz de o atingir, mas não sabia quando.
joy;Quando conheci a minha mãe, depois de não a ter visto durante três anos.
joy;Quando o primeiro filho da minha irmã chegou a casa, após uma semana nos cuidados intensivos do hospital.
joy;Quando uma rapariga que eu queria muito, disse que sim e se apaixonou por mim.
joy;Quando soube que um bom amigo, que estava no estrangeiro há muito tempo, viria ver-me.
joy;Fiquei muito feliz quando descobri que tinha passado no meu primeiro ano de exame e que estava entre os trinta estudantes que se iriam formar em economia.
joy;Quando apanhámos um cão jovem.
joy;Quando fui aceite na UNZA.
joy;Eu senti alegria quando obtive os resultados - tinha chegado ao segundo ano.
joy;O ano passado fui ver amigos na Jugoslávia - duas raparigas com quem me dou muito bem.
joy;Quando o meu primeiro filho nasceu.
joy;Recebi uma carta de aceitação da UNZA.
joy;A minha namorada escreveu-me dizendo-me que estava grávida de quatro meses e que eu era responsável pelos danos. Isto fez-me feliz porque ansiava ter um filho para chamar meu.
joy;Quando soube que tinha passado no meu exame final na escola (com sucesso).
joy;Quando me encontrava numa situação que me parecia desesperada, voltei para os meus pais. Para o meu pai, foi sem dizer nada (normalmente ele murmura-me muitas vezes).
joy;Quando recebi a minha carta de promoção.
joy;Quando fui aceite pelo meu terceiro ano (G-10) na minha antiga escola secundária.
joy;Quando eu tinha 17 anos, tive uma visão mística. Derreti-me numa luz deslumbrante, que omitia o amor perfeito. A experiência física tornou-se sem importância, ouvi ou vi as palavras superar o egoísmo. O sentimento de alegria permaneceu durante meses após essa experiência.
joy;Quando ouvi dizer que alguém muito próximo de mim se saiu muito bem nos exames, apesar de ter brincado muito.
joy;Depois de muito tempo (sem comunicação com ele, de doença física e preocupação) o meu amante veio ver-me quando eu menos esperava vê-lo.
joy;A minha irmã tinha uma filha. Vi a bebé pela primeira vez através de uma vidraça e ela olhou para mim.
joy;O meu filho foi registado para ser admitido na primeira classe da escola primária. As hipóteses de ele conseguir um lugar lá eram de 1/10. Duas semanas depois, fui informada de que ele tinha sido inscrito.
joy;Tive uma discussão com o meu noivo. Quando ele admitiu a sua culpa, tudo estava bem. Foi então pela primeira vez que ele me surpreendeu com café e bolo e um ramo de flores.
joy;Quando fui nomeada pelo Ministério da Saúde para me juntar ao pessoal docente de uma das faculdades de medicina.
joy;Recebi inesperadamente um presente do meu pai.
joy;Quando soube que um parente próximo meu tinha dado à luz ainda muito novo, numa zona muito remota e tinha tido muito poucos problemas.
joy;"À medida que o tempo para obter os resultados se aproximava, tornava-me cada vez mais ansioso. O meu amigo telefonou-me e disse: ""Passaste. O meu coração estava cheio de alegria."
joy;Isto aconteceu quando fui verificar os resultados do meu primeiro ano, tinha pensado que iria falhar e descobri que tinha um passe claro em todos os meus cursos.
joy;Quando me disseram que eu tinha passado nos exames.
joy;Ver relações vindas do estrangeiro após alguns anos.
joy;Quando soube que tinha sido seleccionada para a forma I.
joy;Quando passei no exame do grau 7.
joy;Depois de ter tido uma desilusão na minha vida privada, o meu amigo, que estuda em Viena, veio ver-me espontaneamente.
joy;Na altura, habilitei-me a entrar na escola secundária.
joy;Depois de ter estado fora durante muito tempo, um amigo disse-me que eu tinha passado em todos os meus exames escritos.
joy;Senti alegria quando cheguei a conhecer Cristo. Foi então que me tornei cristão.
joy;Quando o meu tio me deu os resultados do meu primeiro ano. Abri o envelope e os meus olhos encontraram dois B+ - em EC110 e M160, o que significava que me tinha qualificado para uma licenciatura em economia.
joy;No meu aniversário, um amigo veio ver-me inesperadamente e trouxe-me flores. Normalmente não a vejo com muita frequência.
joy;Foi quando a rapariga por quem eu estava apaixonado aceitou a minha proposta e tudo correu bem, tal como eu tinha desejado. Era contrário aos meus sentimentos anteriores de incerteza quanto à sua resposta.
joy;Fui buscar a minha namorada à estação. Quando o comboio chegou e a vi descer e a correr para mim, senti-me feliz.
joy;Eu estava na 7ª classe. Tivemos uma competição de voleibol entre casas. Em Luapula fui o membro mais jovem da equipa e marquei o golo vencedor usando a minha cabeça. Saltei de alegria e caí.
joy;Eu estava na escola quando recebi uma carta do reitor da minha escola a felicitar-me pelo meu desempenho no exame do ano anterior. 
joy;Comprei um presente de Natal para a minha namorada. A caminho de casa, fiquei realmente contente por ter encontrado uma coisa tão adequada.
joy;A minha admissão na UNZA.
joy;O meu primeiro beijo.
joy;A minha amiga veio ver-me depois de ter ficado no estrangeiro. Eu esperei na estação.
joy;Quando passei no meu formulário, três exames.
joy;Voltei a conhecer um amigo muito bom, que não via há muito tempo.
joy;Quando o meu pai me comprou um fato.
joy;Tive um pequeno gato que estava muito doente. Como eu gostava muito, fui com ela a um veterinário. Ele disse-me como cuidar dela e ela recuperou realmente a sua saúde. Toda a gente disse que eu tinha salvo uma vida.
joy;Quando soube que tinha conseguido um lugar em forma I.
joy;Quando vi a minha família depois de uma separação de um ano.
joy;Na noite de Ano Novo, fui a uma discoteca com amigos. Eu próprio me diverti e conheci muitas outras pessoas.
joy;Quando estava com alguém que eu amava.
joy;No meu aniversário, recebi um presente que desejava há muito tempo.
joy;No casamento da minha irmã.
joy;Quando a senhora que agora é minha esposa aceitou a minha proposta para ser minha amante e futura esposa.
joy;O meu vizinho não foi capaz de pôr o seu carro em andamento porque tinha nevado muito. Eu ajudei-o - ele ficou agradecido e convidou-me.
joy;Senti-me feliz quando a minha mãe deu à luz um filho que é o último nascido na família.
joy;Quando fui seleccionado para estudar aqui na UNZA.
joy;Vários dias após o meu exame final na escola, eu estava sentado num avião a caminho da Grécia. Gostei muito desse momento.
joy;Fiquei muito contente quando a minha bolsa de estudo para continuar a estudar na UNZA foi aprovada depois de ter sido cancelada.
joy;Fiquei assoberbado de alegria quando recebi a carta de aceitação à UNZA. Isto voltou a acontecer quando passei em todos os meus cursos do primeiro ano.
joy;Quando me qualifiquei para o formulário I. Eu era um dos três alunos que se qualificaram para o formulário I nesse ano.
joy;Quando a minha mulher deu à luz um menino - o meu único filho até à data.
joy;No meu aniversário, um velho amigo meu enviou-me um cartão. Já não o conhecia há um ano e fiquei muito contente por ele ter pensado em mim.
joy;Quando o meu irmão me deu um relógio.
joy;Quando passei o primeiro ano, podia voltar para o meu segundo ano.
joy;Quando reencontrei a minha namorada noutra cidade, depois de uma longa separação.
joy;Fiquei muito feliz quando soube que tinha passado com distinção e que tinha conseguido chegar à universidade.
joy;Quando eu passava no meu exame final na escola.
joy;A primeira vez que me apaixonei por uma rapariga.
joy;Um grande amigo meu tinha estado fora durante três meses. Quando nos encontrámos de novo, corremos um para o outro e abraçámo-nos.
joy;A nossa única irmã mais velha casou e começou a ter dores no abdómen e foi-lhe dito que não podia ter filhos. Para nossa surpresa, ela teve um bebé há 2 meses.
joy;Tive uma aula de canto, mas não fui muito bom. O último exercício foi cantar escalas. Fi-lo muito bem e o meu professor pareceu-me satisfeito.
joy;Quando recebi uma carta de uma mulher que pensava nunca ter gostado de mim. Foi então que precisei dela e fiquei muito contente por saber que era eu quem estava a atrasar as coisas.
joy;Quando me apaixonei por X. Durante a noite, senti-me confiante, auto-estima, responsável e digno de ser pago.
joy;Quando tive uma crise psíquica, conheci uma rapariga, que me disse que ela tinha tido quase os mesmos problemas e como os tinha finalmente superado.
joy;No dia em que recebi um telegrama a dizer-me que tinha sido seleccionado para um B.An na UNZA. Senti-me feliz porque não esperava ser seleccionado.
joy;Pensei que tinha reprovado num exame, mas quando fui informado sobre a marca, vi que a tinha aprovado.
joy;Fiquei muito feliz quando recebi os resultados de fim de ano, pois estava preocupada com o quão bem me tinha saído. Fiquei muito feliz por saber que tinha passado.
joy;Quando recebi uma resposta positiva do meu apelo para retirar o meu registo na UNZA.
joy;Passado muito tempo, voltei a ver o meu namorado. 
joy;Quando cheguei ao campus pela primeira vez.
joy;Quando obtive os meus resultados - tinha passado nos exames do formulário III. Não esperava que o fizesse tão bem.
joy;Para me poder preparar melhor para um exame importante, não passei a noite com a minha namorada, mas sim no albergue dos estudantes. Não o tinha feito durante meses. No dia em que fiz o exame, alguém bateu à minha porta às sete horas da manhã. A minha namorada que gosta de dormir até tarde tinha vindo para poder estar comigo.
joy;Quando fui aceite na UNZA.
joy;O meu namorado disse-me que me levaria para o treino do cão salva-vidas.
joy;Recebendo a minha nota de resultado (passe) no meu aniversário.
joy;Senti-me muito feliz quando fui aceite na UNZA para os meus estudos. Não esperava isto, pois tinha estado doente durante os exames.
joy;Não tinha estudado muito para o meu exame final na escola, pelo que tive de fazer um exame adicional em francês. O exame oral não foi muito difícil para mim - mais fiquei contente quando soube que tinha passado no exame.
joy;Quando ganhei algumas moedas numa pequena competição.
joy;Quando fui seleccionado para a universidade.
joy;Durante a minha primeira semana em Graz, conheci uma rapariga que tinha conhecido no comboio de Amesterdão para Graz. Embora a tivesse considerado muito simpática, tínhamo-nos separado sem alterar os nossos endereços.
joy;Quando me arranjaram o tipo de namorada que eu andava à caça há muito tempo.
joy;No meu 18º aniversário, passei no teste de condução. Fiquei contente por ter tido de estudar muito porque tinha tido sorte e porque - como prova de que era realmente difícil - nem todos tinham passado no teste.
joy;Quando fui seleccionado para o ensino superior, ou seja, para a sétima classe a formar.
joy;Inesperadamente conheci algumas pessoas de quem gosto muito. um Espontaneamente convidaram-me e integraram-me no seu grupo, embora fosse já tarde da noite.
joy;Ganhei um carro num concurso de prémios. No momento em que fui informado sobre isso, senti alegria.
joy;Era o fim-de-semana do meu regresso a casa. Vi a minha irmã pela primeira vez em 3 meses. Ela é a minha melhor amiga e extremamente próxima.
joy;Tive um A em anatomia - a primeira que tive numa aula de ciências aqui.
joy;O dia em que eu estava mais feliz foi o dia em que recebi um telefonema da Eve's Weekly para me informar que tinha ganho o primeiro prémio de um concurso All India Essay. Ganhei este prémio quando era licenciada e até pós-graduada tinha participado. Tinha sido julgado por eminentes juízes e cientistas políticos.
joy;Recebi uma quantia bastante grande de volta dos meus impostos.
joy;Isto aconteceu quando finalmente se confirmou que eu tinha ficado em primeiro lugar na universidade para os exames de M.A.. Alguns dias antes de os resultados oficiais serem declarados, um escriturário tinha trazido os resultados não oficialmente. Assim, eu estava à espera dos resultados mas a confirmação permitiu-me sentir legitimamente feliz pelo meu sucesso. a 
joy;Os eventos desportivos internacionais ganhos pela minha equipa nacional favorita ou por um jogador trazem-me alegria, por exemplo, quando a Índia ganhou o jogo de críquete da Taça do Mundo.
joy;Quando a Índia ganhou a taça Prudential ao vencer as Índias Ocidentais no jogo final e se tornou campeã mundial de cricket. As Índias Ocidentais foram o mais forte dos oito países que participaram na competição.
joy;Senti-me feliz na resolução do nosso casamento, embora sejamos de diferentes origens sociolinguísticas, os nossos pais concordaram com o casamento sem qualquer conflito ou discussão. Tínhamos pensado que eles iriam opor-se ao casamento, mas isso não aconteceu. 
joy;Encontrei inesperadamente uma rapariga com quem sempre me dei bem. (já não a via há vários meses.)
joy;Quando eu era estudante no Instituto a fazer o meu M. Phil, um dos meus professores telefonou-me antes da convocação e disse-me que eu tinha recebido a medalha de ouro (primeira posição) na universidade e amanhã estarei na televisão.
joy;Quando cheguei em casa do trabalho, encontrei uma carta da universidade a dizer que tinha sido admitido para começar os meus estudos.
joy;Num dia de outono ensolarado, depois de um longo período de chuva.
joy;Tenho a alegria de estar vivo todas as noites.
joy;No penhasco junto ao mar, o silêncio e a voz repentina de um pássaro.
joy;Quando a Índia ganhou pela primeira vez o torneio de cricket da Taça do Mundo.
joy;Senti-me feliz no final de um acampamento de estudantes de 10 dias. Tínhamos partilhado as nossas esperanças e aspirações e, na situação aberta assim gerada, tínhamos feito fortes amizades e experimentado também o nosso valor.
joy;Passei num exame que não tinha a certeza de que ia passar. Fiquei feliz com o resultado porque a possibilidade de continuar os meus estudos dependia disso.
joy;Este é um sentimento que nunca traí, mas devo confessar que a última vez que me senti ligeiramente feliz foi quando passei o meu M. A com uma alta patente. Isto foi há alguns anos quando o meu amigo me falou sobre o resultado.
joy;Quando me formei em B.Sc com primeira classe.
joy;Marquei o golo decisivo num jogo de hóquei no gelo.
joy;Isto aconteceu quando eu estava no 10º ano de escolaridade. As colheitas de arroz estavam em mau estado porque não tinha chovido e não havia água no poço, por isso estava de muito mau humor. Concluí que iria ignorar o campo de arrozal, apenas 12 horas depois disto choveu durante uma hora. Este foi um tempo muito tenso e a chuva trouxe-me um prazer tremendo.
joy;Quando recebi cumprimentos de aniversário inesperados de uma pessoa de quem gosto.
joy;A minha alegria não conhecia limites quando fui seleccionado para um emprego, mesmo antes de ter terminado os meus estudos.
joy;Quando saíram os resultados da parte em que examinei, senti uma alegria tremenda no meu coração. Os resultados saíram após um longo período de preocupação e ansiedade, o que me deu um alívio e alegria sem fim.
joy;Quando fui o primeiro a chegar à B.Exams. Antes tinha ouvido falar destes rapazes e raparigas que eram os melhores, mas quando ouvi pela primeira vez que eu tinha sido o melhor, não pude acreditar.
joy;Soube que tinha sido aceite na universidade.
joy;O ano passado passei nos exames B. Exames de Psicologia em que fui o primeiro da minha turma. Assim, recebi o primeiro prémio do colégio. Tive o maior prazer em contar aos meus pais e amigos.
joy;Quando tive a minha primeira aula no décimo segundo exame padrão, fiquei muito surpreendida e feliz e diverti-me muito com os meus amigos.
joy;Quando recebi uma carta inesperada de um rapaz, que tinha sido meu colega de escola.
joy;Depois de terminar o liceu, queria ir para o estrangeiro para umas férias. Nunca tinha estado no estrangeiro antes e também nunca tinha tirado férias durante muito tempo. Quando finalmente os meus pais concordaram e conseguimos os bilhetes de avião, fiquei muito contente.
joy;Anteontem, a minha mãe comprou-me um novo par de sapatos, sem que eu os tivesse pedido. Ela disse-me que quando viu um par de sapatos, sentiu vontade de os comprar para mim. Eu gostei dos sapatos e eles fizeram-me sentir que a minha mãe cuida de mim.
joy;Não sou especialmente bom em inglês, e depois do meu exame de graduação do liceu em inglês, esperei tenazmente pelo resultado durante todo o dia. À noite, quando soube que tinha feito de forma excelente, fiquei muito feliz e a ansiedade desapareceu. A minha família estava em casa.
joy;Quando a minha filha deu a sua performance de dança a solo em Poona e houve um grande aplauso, fiquei muito contente.
joy;Quando, para minha surpresa, fiquei a saber que tinha obtido muito boas notas de graduação no liceu.
joy;Quando me casei.
joy;O dia em que casei foi o dia mais feliz da minha vida. Ambos sentimos que estávamos certos um para o outro em todos os aspectos e não tínhamos dúvidas sobre a nossa compatibilidade desde o dia em que ficámos noivos.
joy;A minha namorada enviou-me uma carta com uma fotografia brilhante.
joy;Quando consegui obter uma bolsa de estudo pela qual me tinha esforçado muito durante um período de stress financeiro, pessoal e físico.
joy;Sinto uma sensação de alegria sempre que termino uma peça de escrita que faz parte do meu trabalho. A leitura intensa também me traz alegria. Sinto-me também feliz quando me lembro deles.
joy;Comecei um novo ramo de estudos depois de ter falhado um dos anteriores. Quando recuperei os meus exames, fiquei muito contente por saber que quase tinha notas completas.
joy;Quando recebi a bolsa de estudo, fiquei muito feliz, pois o fardo financeiro da família foi reduzido.
joy;A minha mãe, a minha irmã e eu estávamos a pensar nos velhos tempos, na nossa infância, e passámos um tempo muito feliz.
joy;Quando fui seleccionado no TISS X.
joy;Na minha pré-universidade, fui apreciado como um aluno exemplar pelo nosso director. Isto foi algo que me fez sentir muito feliz.
joy;A minha alegria foi a alegria de voltar a encontrar-me. O meu marido chegou a casa depois de ter estado fora durante semanas (para trabalhar). Eu estava na estação ferroviária para me encontrar com ele.
joy;No dia em que recebi uma carta da U.G.C. informando-me que me tinha sido concedida a bolsa de investigação júnior.
joy;Quando consegui o que queria alcançar, senti a emoção acima referida. Também quando sou bem sucedido.
joy;Após os meus exames de graduação, estava à espera de ser admitido num curso de pós-graduação, no entanto, a situação não era muito favorável para mim e fiquei aborrecido. De repente, a universidade de Bombaim ofereceu-me um lugar e eu aterrei em Bombaim para os meus estudos de pós-graduação. Isto aconteceu no ano passado e foi muito agradável para mim.
joy;Quando consegui 21/30 pontos num exame de estatística. O resultado foi inesperado e fez-me perceber que as estatísticas não ultrapassam as minhas capacidades, como por vezes tenho pensado.
joy;Quando obtive o meu diploma de licenciatura em primeira classe.
joy;Quando passei nos 12ºs exames de admissão.
joy;Quando recebi o meu primeiro composto desconhecido enquanto fazia a minha pesquisa M.Sc, fiquei muito feliz. Isto porque a minha pesquisa se baseava neste tipo de reacção e compostos.
joy;Receber uma carta de uma rapariga significa muito para mim emocionalmente.
joy;Isto aconteceu um ano quando eu estava a passar um mau bocado, consegui admissão para fazer pesquisa apesar dos obstáculos no procedimento de admissão.
joy;Quando consegui passar o primeiro composto através da coluna.
joy;Quando foi assinado o contrato da minha loja.
joy;Foi há cerca de quinze dias, fui declarada aprovada no exame da U.G.C. este ano (apenas quatro em Bombaim foram bem sucedidos). A minha alegria não conhecia limites.
joy;Quando fui admitido no M.Sc (I) Organic Chemistry, fiquei muito feliz.
joy;Estar com a minha família mais próxima.
joy;Quando passei no TOEFL com notas muito boas.
joy;Venci o campeonato de ski do país.
joy;Encontrar-me com a minha esposa após uma separação legalizada.
joy;Tenho uma namorada, que é quase como uma filha para mim. Ela está a estudar fora da estação e eu só a vejo uma vez por ano. a Sua chegada é sempre alegre.
joy;Consegui descer 30 Km de esqui de forma simples.
joy;Quando tive sucesso no meu trabalho, estava cheio de alegria.
joy;Quando recebi o prémio de melhor actor no concurso de teatro interuniversitário. Deu-me uma enorme alegria e satisfação que se prolongou por vários dias.
joy;Vender o meu carro usado.
joy;Senti felicidade quando o meu nome foi anunciado na rádio que tinha sido seleccionado para vir para a Escola de Ciências da Saúde de Lilongwe para fazer um curso de formação como assistente médico.
joy;Receber amigos próximos do exterior, que já não via há anos.
joy;Quando estava na escola, ninguém pensou que eu pudesse passar o meu MCE, por isso no final do ano o meu nome foi anunciado na rádio que eu tinha passado. Eu era a pessoa mais feliz.
joy;Quando fui aceite para estudar nesta escola, fiquei muito feliz.
joy;No momento em que recebi a notícia de que tinha sido seleccionada para a U.G.C. uma bolsa de investigação nacional júnior. Era um sonho tornado realidade.
joy;Tive melhores notas no exame do que muitas pessoas arrogantes.
joy;Quando o banco me emprestou dinheiro este inverno, depois de ter gasto o que tinha.
joy;Ter sido escolhido para fazer a sua experiência com a afasia.
joy;Depois de ter terminado a minha B.Sc, estava a lutar arduamente para continuar os meus estudos e tinha feito o exame M.SC. Não tinha a certeza de que seria seleccionado para o exame escrito. Quando vi o meu nome na lista de candidatos seleccionados, fiquei muito contente.
joy;Estar próximo de outra pessoa.
